doctor_id,full_name,specialization,department_id,hospital_id,phone_no,record_start,record_end
D00269,Dr. Debra Collins,neurology,DEP02,H02, 878.273.8334x293 ,2023-01-27,2023-09-02
D00270,Dr. PAUL mahfuz,ENT,DEP03,H02,925-271-2136x2888.,2023-06-29,
D00271,Dr. Raaghib Awadil,neurology,DEP06,H03,(502)785-4816,2023-03-29,
D00272,Dr. Saajid Taheem,ENT,DEP02,H03, 001-588-645-2115x89446 ,2023-06-19,2024-06-17
D00273,Dr. Amy  Murphy,oncology,DEP04,H05,001-751-856-1203,2023-06-04,2023-12-04
D00274,DR. QUDOOS ZAFRUL,Orthopedics,DEP04,H01,(897)626-2065x23126,2023-03-29,2023-10-19
D00275,Dr. ayyubi Aaaqil,Pediatrics,DEP04,H03,6582907608,2023-02-06,
D00276, Dr. Rachel WILLIAMS- ,Neurology_,DEP07,H02,(593)806-7914,2023-05-28,
D00277,dr. kauthar huzaifa,NEUROLOGY,DEP10,H05,4742543676,2023-02-01,
D00278,dr. maroof. jones,ORTHOPEDICS,DEP07,H03,001-323-677-2270x1366,2023-01-05,
D00279,Dr. Tali Steele,C@rdi0l0gy,DEP06,H04,+1-322-362-6468,2023-05-03,
D00280,Dr. Kafeel Martin,Pediatrics,DEP04,H04,+1-694-393-7021x9464,2023-04-19,2024-01-25
D00281,dr. dylan graham,Pediatrics,DEP01,H05,715.721.2889x3842-,2023-05-24,
D00282,Dr. GOHAR RODRIGUEZ,ent,DEP04,H05,(227)961-6911,2023-05-11,
D00283,dr. zaahid lambert,Oncology,DEP10,H04,809-795-9118x493,2023-01-08,2023-10-02
D00284,dr. kaleem williams.,"Pediatrics,",DEP10,H01,+1-777-977-1813x84388,2023-01-06,2023-12-12
D00285, Dr. lydia Matthews ,Oncology,DEP06,H02,425-517-9673x62101,2023-02-04,2023-10-29
D00286,Dr. Yasir Ghafoor,ORTHOPEDICS,DEP07,H03,,2023-02-21,2023-10-25
D00287,dr. nail levine,Onc0l0gy,DEP06,H02,535-739-8016x4664,2023-03-08,2023-10-31
D00288,Dr.  zauqi  warren,Pediatrics,DEP08,H01,+1-782-795-9026,2023-02-17,2023-11-24
D00289,dr. melissa basaam,ENT,DEP02,H02,333-927-4317x89375,2023-01-29,2023-08-29
D00290,"DR. JENNY PETERSON,",Neurology,DEP04,H05,7509830647,2023-01-28,2023-10-26
D00291,Dr.  Kevin  Oneal,cardiology,DEP04,H01,534.276.7971X15337,2023-01-25,2023-08-20
D00292, Dr. Y@did  ortiz ,0rth0pedics,DEP08,H02,438-840-2744,2023-05-21,2023-12-30
D00293,Dr.  Aasif  Sabil,Orthopedics,DEP02,H01,975.615.7409,2023-03-18,2024-01-23
D00294,"dr. aafiya naeem,",Cardiology,DEP08,H04,(395)764-9559x826,2023-04-10,
D00295,Dr. thomas Liyaaqat,ENT,DEP02,H01,001-748-789-3428,2023-01-28,2024-01-11
D00296,Dr. M@tthew W@di,Orthopedics,DEP09,H01,891.253.6230x9476,2023-05-25,
D00297,DR.  GHANEE  COLLINS,Oncology,DEP01,H05,849-330-7018,2023-03-02,
D00298,DR. WAHAB  MILLS,Oncology,DEP03,H02,499.789.3346x0322,2023-05-13,
D00299,Dr. Stephen  Peters, ENT ,DEP09,H01,454-377-6747X4162,2023-05-16,
D00300, Dr. @ndrew Sadaqat ,Orthopedics,DEP06,H01, 001-655-866-6890 ,2023-01-18,
D00301,dr. qatadah  rivera,Orthopedics,DEP01,H03,(712)927-7123x40543,2023-04-18,2023-10-27
D00302,Dr. David Hanson,Neurology,DEP09,H01,9786753992,2023-03-17,2023-12-13
D00303,DR.  RENEE   RUSSO,neurology,DEP06,H02,001-810-405-3528_,2023-02-19,2023-12-06
D00304,Dr. basil SABAH,ENT,DEP06,H05, 734-478-3001x1070 ,2023-05-22,
D00305, Dr. CLARENCE P0well ,Orthopedics,DEP03,H04,432-464-2574x1378,2023-02-16,
D00306,Dr. Jonathon Lyons,Cardiology,DEP02,H01,(550)801-9920,2023-05-16,
D00307,Dr. Ch@rles Qahtan, ENT ,DEP04,H02,3664763286,2023-03-26,2023-10-10
D00308,dr. rafay haas,orthopedics,DEP08,H04,001-608-292-6602x93819,2023-05-24,2024-04-06
D00309,dr. russell m@@wiy@,neurology,DEP05,H03,943-437-2018x570.,2023-01-18,
D00310,Dr. Raamiz jaabir,Neurology,DEP07,H03,+1-759-891-4539x97568,2023-04-16,2024-01-16
D00311,Dr. Mahfooz  Jones.,Neurology,DEP03,H01,+1-356-362-5464,2023-02-09,2023-08-18
D00312,Dr. Umair Ayamin, ENT ,DEP04,H01,(525)326-8366,2023-05-06,
D00313,Dr. Tishk Wadi,oncology,DEP09,H02,(734)570-2272x9862,2023-02-16,
D00314,Dr.  Qaasim  Nabeel,Pediatrics,DEP07,H04,001-540-318-3374x7340,2023-03-30,
D00315,Dr. Omeir Mccoy,Cardiology,DEP10,H02,(568)944-0840x8122,2023-02-10,
D00316,Dr. Tara  Liyaaqat,Orthopedics,DEP02,H05,(546)308-2820,2023-05-07,
D00317,Dr. eric Briggs,ORTHOPEDICS,DEP03,H02,7086527585,2023-06-09,2024-03-21
D00318,Dr. Travis qasif,Orthopedics,DEP05,H03,001-645-557-7460x79477,2023-03-31,2024-02-22
D00319,dr.  ghaith  zahrun,Cardiology,DEP03,H02,794-447-7752x70184,2023-01-14,2023-09-07
D00320,Dr. QADAR hanson,Neurology,DEP08,H02,+1-243-604-7232,2023-01-30,2024-01-15
D00321,Dr. Kashan jacobs,ENT,DEP09,H01,847.622.1944x25509,2023-05-14,2024-03-28
D00322, Dr.  Lutf  Baker ,Neurology,DEP05,H05,221.698.2924x0438,2023-06-04,2024-05-11
D00323,Dr. Danielle Romero,Neur0l0gy,DEP01,H01,873-370-9200x37303,2023-01-02,2023-11-16
D00324,dr. fazli aasim, ONCOLOGY ,DEP02,H05,(665)959-4018,2023-06-15,2024-02-21
D00325,DR. KYLE SAIR,Oncology,DEP10,H04,(213)962-5707,2023-03-02,2024-02-16
D00326,Dr. BIROUSK Limazah_,Neurology,DEP07,H04,885.895.1009x882,2023-04-13,2023-10-26
D00327,Dr. Kara zaahid,Orthopedics,DEP03,H05,888.784.8096,2023-04-17,
D00328,dr. idris  s@@d,ENT,DEP07,H04,350.287.5990x5663,2023-02-07,2023-08-17
D00329,dr. a@riz tafazal,ENT,DEP02,H02,001-476-426-9177x2416,2023-01-02,2023-12-31
D00330,Dr. M0nic@- Willi@ms_, Oncology ,DEP02,H03,405-295-3288x1099,2023-03-12,2023-10-24
D00331,Dr. Ge0ffrey aasim,Pediatrics,DEP09,H01,(704)703-0460x736,2023-02-27,
D00332,dr. desiree wells,Oncology,DEP02,H03,001-275-890-2142x835,2023-06-11,2024-06-03
D00333,DR. STACY GULFAM,ONCOLOGY,DEP06,H02, 992-393-6177x026 ,2023-03-25,
D00334, dr. tahaw-wur bilaal ,Neurology,DEP04,H05,+1-323-618-8127x3790,2023-02-20,
D00335,Dr. ihtir@m b@mb@d,Neurology,DEP01,H05,230.912.0909,2023-03-21,
D00336,Dr. Nicholas OWAIS,neurology,DEP06,H03,4956432226,2023-02-02,
D00337, dr.  gabriela  martin ,Oncology,DEP09,H02,+1-615-255-3431x92430,2023-05-24,2024-05-20
D00338,Dr. Danielle Gulshan,Oncology,DEP10,H03,953-961-5684x56116,2023-05-25,
D00339,dr.  david  curry,ONCOLOGY,DEP02,H05, 327.690.2714x15947 ,2023-02-05,
D00340,dr. angela omar,Oncology,DEP08,H05,(994)663-5710X804,2023-03-06,
D00341,dr. aayan zafar_, ONCOLOGY ,DEP04,H04,471.983.7382x765,2023-02-02,
D00342,DR. EIJAZ SCOTT,ent,DEP02,H05,218-880-7280,2023-03-10,2023-12-18
D00343,Dr. Monica Zahrun,ENT,DEP03,H04, (747)843-9659x8911 ,2023-05-20,
D00344,dr. bradley walker,Cardiology,DEP10,H03,(548)805-4554x703,2023-02-01,2023-12-12
D00345,Dr. Mich@el N@deem,Neurology,DEP05,H01,635-593-1249,2023-03-28,
D00346,Dr. Qaasim Armstrong,Orthopedics,DEP05,H05,(462)422-6181,2023-05-03,
D00347,Dr. Tracy Chambers,pediatrics,DEP06,H02,(472)788-9489x647,2023-01-16,
D00348,Dr. A@hil Miller,Cardiology,DEP05,H02,662-646-9728x96988,2023-05-15,2024-02-18
D00349,Dr. Theresa  ANDERSON,NEUROLOGY,DEP08,H05,3309207639,2023-03-14,
D00350,Dr. jonathan Jefferson,Oncology,DEP05,H04,(964)344-4696x97204,2023-01-21,2023-07-27
D00351,dr. raheel saariyah, Orthopedics ,DEP10,H03,4368160165,2023-02-25,
D00352,dr. steven omran,Pediatrics,DEP05,H01,218-760-1440,2023-01-28,2023-10-16
D00353,Dr. Mariah GLENN, orthopedics ,DEP07,H05,(536)974-9472,2023-05-25,
D00354,dr. luqman lucero,Cardiology,DEP01,H02, 001-319-536-4206 ,2023-04-25,2024-04-04
D00355,dr. karim ghauth, ENT ,DEP06,H02,(732)424-0417X805,2023-06-06,2024-03-30
D00356,Dr. jeffrey qadeer, ONCOLOGY ,DEP06,H01,(665)738-6367x97267,2023-05-25,2024-04-17
D00357,Dr. Glenn Thompson,Oncology,DEP08,H04,+1-661-212-1693x97348,2023-01-29,
D00358, Dr. Mahdi Rodriguez ,Oncology,DEP06,H02,+1-957-709-5633x963,2023-02-11,2023-11-27
D00359,Dr. Saad Basaam,Oncology,DEP01,H04,+1-246-280-1487,2023-06-11,
D00360, Dr. Meliss@ reyes ,Orthopedics,DEP06,H05,915-229-6278,2023-03-29,
D00361,Dr. Chelsea Walker,oncology,DEP02,H03, 928-243-1057x529 ,2023-05-05,
D00362,DR. N@JEEB- RAASHID,Cardiology,DEP10,H05, (540)785-0237 ,2023-04-21,2023-11-14
D00363, dr. kelly. miller ,Pediatrics,DEP03,H03,838.968.9463X5608,2023-03-08,
D00364,Dr. April  Taj,ent,DEP08,H04,313.563.6249x5273,2023-02-26,2023-09-04
D00365,dr. baaizeed williams,Neurology,DEP06,H01,643.908.4167x133,2023-05-10,
D00366,Dr. Qudoos Flores,ENT,DEP08,H04, (936)379-7965 ,2023-02-19,2024-01-05
D00367, Dr. Stephen Garner ,Neur0l0gy,DEP05,H02,,2023-01-19,
D00368,Dr. Shelby Lopez,neurology,DEP03,H03,704.626.8619x58610,2023-05-27,2023-12-10
D00369, Dr. Yeraz George ,ENT,DEP10,H02,+1-414-627-6349x0805,2023-02-02,2023-10-30
D00370,Dr. BENJAMIN Saboor.,Orth0pedics,DEP07,H05,001-447-300-5938x01807-,2023-01-11,
D00371,dr. karina qaim, Oncology ,DEP01,H03,(653)330-2096,2023-05-25,
D00372,DR. KRISTEN MITCHELL,Orthopedics,DEP06,H04,952-264-2817,2023-05-23,2023-11-26
D00373,Dr.  Anthony  Brooks,Cardiology,DEP04,H05,639.302.0385X38314,2023-02-06,
D00374,Dr. CHRISTOPHER W@@hid,pediatrics,DEP03,H05,,2023-03-18,
D00375,Dr. Kabeer Wadood,Cardiology,DEP03,H02,001-693-604-3425x29374,2023-04-07,2024-03-18
D00376,Dr. Don Kachela, ENT ,DEP06,H04,001-460-664-0325,2023-03-10,
D00377,"Dr. Kevin_ GREENE,",Oncology,DEP06,H01,450.205.0977x982,2023-05-02,2024-02-29
D00378,Dr. Melissa Moss_,pediatrics,DEP04,H02, 001-553-653-5889x9033 ,2023-02-28,
D00379, dr.  tracie  faizan ,Neurology,DEP05,H05,+1-738-622-5806,2023-04-15,
D00380, Dr. basel Watkins ,Cardiology,DEP03,H05,426.912.9089X527,2023-02-16,2023-10-11
D00381,Dr. Khaan qahtan,ENT,DEP01,H01, 001-327-711-8819x00539 ,2023-02-20,2024-01-20
D00382,Dr. q@sid Qus@y,orthopedics,DEP01,H02,821-676-4580x325,2023-01-06,2023-11-25
D00383,Dr.  Christine   harper,ONCOLOGY,DEP07,H02,001-312-560-3701x9833,2023-01-29,2024-01-13
D00384,Dr.  Chashida  Sadeed,Orthopedics,DEP04,H02,871.345.6946,2023-05-06,2023-12-08
D00385,DR.  JEREMY  REYNOLDS, Pediatrics ,DEP10,H03,001-840-650-1540x24927,2023-01-06,
D00386,Dr. Raamis  aarif,Cardiology.,DEP08,H05,(338)905-8622,2023-05-04,
D00387,Dr. Saim Awj,ENT,DEP04,H04,,2023-05-19,
D00388,Dr. katie Ub@id,ENT,DEP01,H02,+1-791-909-7646,2023-04-26,
D00389,Dr. Umar Ubay,cardiology,DEP06,H03,9802032198,2023-04-13,2024-03-31
D00390,dr. lutf williams,cardiology,DEP05,H01,(893)870-4486,2023-05-05,
D00391, DR. DENISE DAKHIL ,Pediatrics,DEP01,H02,4155266808,2023-01-30,2023-09-03
D00392,dr.  amber  jarvis,Pediatrics,DEP03,H02,001-212-693-5858x78945,2023-02-19,2023-10-22
D00393,Dr. robert Buck,Neurology,DEP10,H04,001-767-779-0743x08625,2023-01-05,2023-09-28
D00394,Dr. stephanie Case,neurology,DEP08,H05,251.845.9684x7534.,2023-06-05,
D00395,Dr. james Todd,ENT,DEP07,H04,+1-733-620-8762x159,2023-01-16,2024-01-05
D00396,dr. azban  aabid,Pediatrics,DEP05,H03,991-365-3251,2023-05-24,2024-04-07
D00397, Dr. Parsa K@m@l ,Orthopedics,DEP08,H05,(680)337-2649,2023-03-25,2023-11-09
D00398,Dr. Raghib Tafazal.,Pediatrics,DEP09,H05,001-219-674-0306x3035,2023-02-18,
D00399,Dr. fazli Green,Orthopedics,DEP06,H04,+1-429-703-4805x6263,2023-05-29,
D00400,Dr. Zafrul Ghafoor-,Neurology,DEP02,H01,406-687-6432,2023-06-06,2024-01-07
D00401,dr. nadr yar,NEUROLOGY,DEP10,H01,350-751-7743,2023-05-20,2023-12-05
D00402,Dr. Umar Campbell,Orthopedics,DEP10,H04,+1-284-486-6991x12913,2023-01-31,
D00403, Dr. calvin Talhah ,ENT,DEP06,H01,+1-705-823-8104,2023-02-22,2023-12-18
D00404,Dr.  Janet  hart,ENT,DEP04,H03, 372-640-2665x2058 ,2023-05-15,2024-04-23
D00405,dr.  umair  sabur,Neurology,DEP09,H02,(922)997-4816x417,2023-05-21,2024-01-07
D00406,Dr. Nabeel Johnson, ENT ,DEP04,H01,(207)636-3484x5971.,2023-06-08,2024-02-21
D00407,Dr. Amber Jennings,neurology,DEP09,H02,001-501-610-3163x8931,2023-01-23,
D00408,"Dr.  Idrees  Sabir,",Orthopedics,DEP04,H01,342.773.6144x5997,2023-05-29,
D00409,Dr. Tina Ehsaas,Oncology,DEP07,H03,953.630.0971x537,2023-03-17,
D00410,Dr. Amanda Evans,Pediatrics,DEP10,H05,,2023-02-01,
D00411, Dr. David Stevenson ,CARDIOLOGY,DEP07,H01,(599)339-8810,2023-01-04,
D00412,Dr. Jabir EVANS-,pediatrics,DEP01,H04,(328)573-3909,2023-02-06,
D00413,Dr. Brian francis, ENT ,DEP08,H04,427-472-0980x878,2023-06-24,2023-12-26
D00414,Dr. VINCENT Fisher,Neurology,DEP04,H01,248.625.9501x85804,2023-02-27,2023-12-01
D00415,Dr. jabbaar watts,Cardiology,DEP04,H04,305.582.6394,2023-05-17,2023-12-09
D00416,Dr. Mary YAHYAA,Oncology,DEP10,H01,001-623-774-0909X4592,2023-05-20,2024-04-29
D00417,dr. yar thompson,ENT,DEP09,H02,(555)536-4637x88914,2023-04-15,
D00418,Dr.  Najam  Burns,Oncology,DEP01,H05,001-771-728-3630,2023-06-28,
D00419,Dr. j0se  W@@hid -,neurology,DEP08,H01,+1-382-665-7630_,2023-06-05,
D00420,Dr. michelle  Aarif, Oncology ,DEP08,H04,001-400-506-6597,2023-01-17,
D00421, Dr. TAJ Ghazzal ,ENT,DEP02,H02,001-359-937-2320x190,2023-06-26,
D00422,dr.  matthew  ihsaan,Cardiology,DEP09,H01,434.502.8870x1725,2023-03-04,
D00423,dr. maaz bean_,cardiology,DEP01,H05,001-783-711-9542x4081,2023-03-05,
D00424,dr. omran gray,ENT,DEP01,H04, 001-965-367-3737x73205 ,2023-01-03,
D00425,Dr. luqman Ayamin,Oncology,DEP06,H03,483-428-0079x757,2023-01-02,2023-10-17
D00426,Dr. marc Baxter,"pediatrics,",DEP09,H04,(931)836-0990,2023-02-12,2024-01-30
D00427, Dr. ZAAHID nabeel -,ENT,DEP09,H04,695-511-1309,2023-03-23,2024-03-15
D00428,"Dr. Denise, madiyan",Oncology,DEP06,H03,(811)861-9759X201,2023-06-22,2024-03-01
D00429,"Dr. Dameer Ghasaan,",Orthopedics,DEP09,H03,+1-363-352-1200x73406,2023-05-24,
D00430,dr. kathryn raashid,cardiology,DEP09,H05,223-568-4964,2023-06-04,2024-01-15
D00431,Dr. Hamza Awj,oncology,DEP10,H04,475.940.4399x95704,2023-05-04,2023-11-28
D00432,Dr. LUTFI Babar,ENT,DEP01,H05,(412)366-2501X68237,2023-02-20,
D00433,"Dr. Patrick aaaqil,",Oncology,DEP05,H03,001-581-222-5521X073,2023-05-23,2023-12-25
D00434,Dr. Robert Stone,PEDIATRICS,DEP05,H03,244-612-7459x7394,2023-02-16,2023-09-07
D00435, DR.  STEPHANIE . COOKE ,Pedi@trics,DEP05,H03,557.789.7216x10806-,2023-03-02,2023-11-13
D00436,Dr. rohaan Ubaadah,orthopedics,DEP08,H05,525.904.7285x4965,2023-03-19,2023-11-18
D00437,Dr. Kathleen Cisneros,Oncology,DEP05,H02,,2023-05-21,2024-04-29
D00438,Dr. Umair herman,Oncology,DEP03,H02,475-502-0459x5730,2023-06-19,2024-02-18
D00439, Dr.  Brent  Azban ,Cardiology,DEP09,H05,717-954-1292x37969,2023-06-11,
D00440,Dr. Qasim Garcia,ENT,DEP02,H01, 9924833739 ,2023-06-03,
D00441,dr. anne  jones,oncology,DEP05,H02, 808-699-4302X3807 ,2023-02-07,
D00442,Dr. shawn Lopez,cardiology,DEP02,H02,,2023-02-17,
D00443,Dr. Kaleem Moses,ent,DEP03,H05,(966)937-6010,2023-05-28,
D00444,Dr.  di@n@  J@l@@l,"ENT,",DEP02,H03,693-609-4608,2023-04-21,
D00445,dr. alexis omair,Orthopedics,DEP03,H04,001-760-258-5413x3594,2023-01-11,2023-09-17
D00446,"Dr. alexander Aamir,",Pediatrics,DEP02,H05,001-288-425-7226x0296,2023-06-02,
D00447,Dr.  roberta  Mcgee, Orthopedics ,DEP04,H01,582.529.4262X46812,2023-05-28,2023-12-12
D00448,dr. mahad garcia.,ENT,DEP06,H03,935-349-5578,2023-06-05,
D00449,dr. aadam. ingram,Pediatrics,DEP01,H03,327.352.8914X5196,2023-06-29,2024-04-16
D00450,dr. cheryl ghunayn,Pediatrics,DEP09,H01,+1-766-935-0487x513,2023-03-18,
D00451,DR.  GHIYATH  TAANISH,Neurology,DEP03,H05,(874)819-2185,2023-01-06,
D00452,DR. MAHMOUD LITTLE_,ENT,DEP10,H02,(736)989-4484x6751,2023-05-26,2024-02-06
D00453,Dr. Zafeer Kaysan,Orthopedics,DEP09,H03,+1-674-942-2468X901,2023-02-12,
D00454,dr. roy jefferson,Orthopedics,DEP06,H03, 001-871-266-8400x07238 ,2023-03-23,
D00455,dr. mabad rodriguez,Neurology,DEP08,H04,9612902739-,2023-06-08,
D00456,Dr.  JAAN  Thompson,pediatrics,DEP05,H01,001-644-458-0123,2023-06-03,
D00457,Dr. Karim Stephens,Oncology,DEP01,H03,3168151030,2023-05-29,
D00458, Dr. saabir Yadid ,cardiology,DEP01,H05,(684)339-7838,2023-03-17,
D00459, Dr.  Raheel  aalam ,Pediatrics,DEP03,H03,"8239003765,",2023-02-11,2023-12-10
D00460,Dr. Michael Raaghib,ENT,DEP09,H04,001-704-274-3561X319,2023-03-10,2023-10-05
D00461,dr. tabish benjamin,Neurology,DEP03,H05,767-271-4561x60347,2023-01-26,2023-10-26
D00462,dr. taariq ghutayf,oncology,DEP09,H02,001-222-729-7790,2023-06-09,2024-03-16
D00463,Dr. Tara Anders0n,Cardiology,DEP10,H03,(847)701-3406x56236,2023-06-27,
D00464,Dr.  Michael  Brock,Neurology,DEP10,H05,852-812-0182x7418,2023-06-30,2024-02-29
D00465,Dr. AABAN Watson_,Pediatrics,DEP04,H05,+1-769-932-8949x934,2023-02-14,
D00466,DR. DAAMIN RICHARDSON,Oncology,DEP09,H02,742-672-9177x82692,2023-01-25,2023-11-16
D00467,DR. GHIYATH ADAMS,Cardiology,DEP01,H04,9067736978,2023-03-02,2024-02-27
D00468,Dr. LINDA Maheen,Oncology,DEP06,H04,656.244.8652x44177,2023-02-25,2024-02-18
D00469,Dr. Z@h@@r ihtiram,neurology,DEP09,H05,982-665-2373.,2023-01-05,
D00470,Dr. gary  Patton,neurology,DEP05,H03,(677)423-0173x3591,2023-02-26,2023-10-10
D00471,Dr. Yaqeen Chavez,ENT,DEP01,H05,748-315-0937x9017_,2023-06-05,
D00472,dr. peter lutf,pediatrics,DEP01,H05,401.786.7315,2023-03-06,2023-11-27
D00473,Dr. ATFAT Valenzuela,Oncology,DEP06,H02,8372660425,2023-06-12,2024-01-09
D00474,Dr.  Urrab  Zafar, Orthopedics ,DEP08,H04,001-932-901-0834x97337,2023-01-25,2024-01-03
D00475,Dr. Benjamin Wilson,ENT,DEP08,H04,619.325.4533,2023-01-26,
D00476,Dr.  Radhee  terrell,ENT,DEP08,H05,001-617-296-2947x31833,2023-01-19,
D00477, Dr. Awmar  carson ,ENT,DEP01,H01,901.879.2838x9612,2023-04-27,
D00478,Dr. benjamin Douglas,Orthopedics,DEP03,H04,(402)204-8116x2937.,2023-06-15,2024-05-23
D00479,DR. GREGORY JENKINS,oncology,DEP03,H04,+1-481-680-1443x9973,2023-02-14,2023-10-13
D00480, Dr. Bahiy Udeen BROWN ,neurology,DEP06,H03, 453.842.5424 ,2023-02-16,
D00481,Dr. Pam Qaasim,ENT,DEP01,H01,(548)212-8219x4213,2023-02-14,2023-12-17
D00482,dr. zaib riley,ent,DEP02,H04,7132278769,2023-04-03,2023-10-04
D00483,Dr. Jeffrey- Najam,ENT,DEP01,H01,+1-404-580-0059X429,2023-01-24,2023-10-16
D00484,Dr. jessica Riley,Neurology,DEP07,H02,+1-969-583-8369x0087,2023-01-04,
D00485,Dr. tr@ci nail,ORTHOPEDICS,DEP04,H02,(370)335-5366x709,2023-01-12,
D00486,Dr. Elizabeth kaamil,Neurology,DEP09,H04,456-276-2811,2023-06-27,2024-05-15
D00487,Dr. aaryan Zaahir,ent,DEP09,H03,001-639-393-3789,2023-04-05,2023-10-29
D00488, Dr. Fidvi smith ,Oncology-,DEP06,H04,341-536-3574X032.,2023-03-17,2024-01-23
D00489,dr. awrad martin,Neurology,DEP07,H03,001-446-271-1615,2023-04-15,2023-10-18
D00490,DR. CHRISTOPHER LUQMAAN_,ENT,DEP08,H01,777-402-3572x78054,2023-01-07,
D00491,Dr. Jaabir Raashid,oncology,DEP04,H02, 001-306-411-9946x431 ,2023-02-02,
D00492,Dr. Labeeb tamanna,Pediatrics,DEP02,H05,+1-863-408-7333x98868,2023-02-14,
D00493,Dr.  Billy  herman,orthopedics_,DEP05,H03,468.785.0207x31595,2023-04-08,
D00494,Dr.  Dabir  Scott,ENT,DEP09,H01,983-339-1247,2023-02-20,2023-11-10
D00495,Dr. Qadeer RADI,Cardiology,DEP07,H01,+1-667-941-0356x888,2023-03-30,2023-10-15
D00496,Dr. M@ri@ madiyan,Orthopedics,DEP10,H04,645-677-8856x0779,2023-06-08,2024-04-19
D00497,dr. jabbaar  mahmoud, Oncology ,DEP05,H05,+1-836-815-4632,2023-04-09,2023-12-23
D00498,Dr. Nabil Zackariya,"Cardiology,",DEP10,H03,605-547-1191X174,2023-05-20,2024-05-08
D00499,Dr. taaj collier,Cardiology,DEP01,H03,806.231.9309,2023-01-01,2023-08-12
D00500,Dr. W@fiq RAATIB,Pediatrics,DEP01,H01,3067227101,2023-05-09,2024-04-02
D00501, Dr. Christine garcia ,Oncology,DEP10,H01,,2023-02-27,2023-10-03
D00502,Dr. joseph Fidvi,orthopedics,DEP02,H03,(989)846-6314x491,2023-04-28,
D00503,Dr. Carlos Kamran,neurology,DEP07,H04,(784)897-8161x4024,2023-05-20,
D00504, Dr. michelle LIMAZAH ,ENT,DEP09,H04,+1-257-311-6283x1226,2023-04-08,2023-10-14
D00505,Dr. SAMANTHA Kim,oncology,DEP10,H04,001-726-990-6851x6369,2023-04-07,2024-02-13
D00506, Dr. M@ry Stanley ,Neurology,DEP10,H04,+1-828-418-6153x279,2023-02-20,
D00507,dr. n@ncy gh@uth,Orthopedics,DEP10,H05,+1-502-834-6116,2023-01-25,2023-11-25
D00508,Dr. Joanne K@beer,ENT,DEP03,H01,250-725-6167x300,2023-04-03,
D00509,dr. j@mes perkins,Pediatrics,DEP09,H05, (289)335-2338 ,2023-06-06,
D00510,Dr. Christina Rabee,Orthopedics,DEP08,H04,733-205-6305x9682,2023-05-31,
D00511,DR.  JOEL  TABASSUM,Neurology,DEP07,H01,001-328-771-5132x41043,2023-04-06,2024-01-17
D00512,Dr. Jahdari eshan-,Pediatrics,DEP04,H02,350.510.0343,2023-01-22,2023-09-25
D00513,Dr. Saabir Nolan,Pediatrics,DEP10,H01,484.453.3673,2023-05-22,2024-03-17
D00514,"Dr. ABAAN Sadeed,",PEDIATRICS,DEP06,H01,,2023-01-23,2024-01-15
D00515,DR.  AAUS  SCHMITT,ONCOLOGY,DEP07,H04,(333)598-3990,2023-03-27,2023-12-28
D00516,Dr. sadaqat Aamirah,Pediatrics,DEP06,H04,4652847740,2023-01-12,
D00517,Dr. Justin Phillips,Pediatrics,DEP04,H05,286-777-1099x5280,2023-01-28,2023-09-26
D00518,DR. IHTIRAM UMAARAH,C@rdi0l0gy,DEP01,H01,886-790-1426,2023-02-27,2023-09-10
D00519,Dr. Ihsan TAMANNA,Cardiology,DEP05,H01,3337788456,2023-05-17,2023-11-30
D00520,Dr. Justin Miller,oncology,DEP10,H05, 001-713-948-5429x10050 ,2023-02-05,
D00521,Dr. Qatadah Lutf_., Oncology ,DEP02,H05,(968)566-8320x72182,2023-03-12,
D00522,Dr. Qanit rich@rds0n,orthopedics,DEP04,H04,200-399-3497x69337,2023-02-12,
D00523,dr. rodney- perry,Cardiology,DEP04,H05,+1-221-921-7464x13714,2023-06-05,
D00524,dr. omran nadeem,ENT,DEP04,H03,+1-929-235-1371x774,2023-06-06,2024-03-22
D00525,DR. ANDREW DUNCAN, ONCOLOGY ,DEP01,H05, 234-737-5099x61826 ,2023-06-23,2024-02-04
D00526,dr. melissa garcia,Orthopedics,DEP06,H04,828.752.3807x47965,2023-03-11,
D00527,Dr. luc@s ROMERO,Pediatrics,DEP04,H01,(239)257-4714x3835,2023-03-13,
D00528,Dr. Margaret Petersen,Neurology,DEP09,H02,(667)670-1464x6113,2023-06-18,2024-03-22
D00529,Dr. qudamah Raashid_,Orthopedics,DEP06,H01,(505)653-9906x28833,2023-04-20,2024-02-06
D00530,Dr. Vahar Ossama,Neurology,DEP04,H02,+1-208-457-0158x31367,2023-02-15,2024-01-18
D00531,"dr. monica, maawiya",Orthopedics,DEP07,H05,001-800-554-6302x25245,2023-05-26,
D00532, Dr. cameron Mccullough .,Orthopedics,DEP02,H01,,2023-03-12,
D00533,DR.  NABEEL  AAMIL,ENT,DEP09,H02,274.858.6640,2023-06-23,2024-06-01
D00534,Dr. jennifer_ AARIF,"NEUROLOGY,",DEP04,H02,903-236-5026,2023-03-04,
D00535,dr. donna  baker,Oncology,DEP02,H04,001-686-879-5960x263,2023-03-25,2023-11-20
D00536,dr. yar auraq,Cardiology,DEP05,H03,836.595.3971,2023-04-16,
D00537,DR. ANDREA  GOODMAN,Oncology,DEP07,H03,672-580-1503x5401,2023-04-09,2024-04-01
